url_length,use_https,domain_length,num_subdomains,path_length,use_ip,count_slash,count_dot,count_ampersand,count_at,count_dash,count_equals,count_question,count_semicolon,count_digits,label
42,0,17,1,18,0,4,2,0,0,0,0,0,0,0,0
40,0,22,1,11,0,3,2,0,0,0,0,0,0,0,0
41,1,17,1,16,0,4,2,0,0,0,0,0,0,0,0
32,0,14,0,11,0,3,1,0,0,0,0,0,0,0,0
42,1,16,1,18,0,3,2,0,0,0,0,0,0,0,0
74,1,18,1,48,0,6,4,0,0,0,1,0,0,8,0
42,0,17,1,18,0,5,3,0,0,0,0,0,0,4,0
42,0,17,1,18,0,5,3,0,0,0,0,0,0,4,0
78,0,20,1,51,0,8,2,0,0,0,0,0,0,8,0
47,0,19,1,21,0,4,3,0,0,0,0,0,0,0,0
66,1,14,1,44,0,3,3,0,0,0,0,0,0,6,0
92,1,22,1,62,0,8,2,0,0,0,0,0,0,8,0
96,0,17,0,72,0,5,1,0,0,0,0,0,0,8,0
72,1,23,1,41,0,5,2,0,0,0,0,0,0,1,0
47,1,17,0,22,0,4,1,0,0,0,0,0,0,0,0
57,1,32,1,17,0,4,2,0,0,0,0,0,0,0,0
56,0,18,1,31,0,5,2,0,0,0,0,0,0,0,0
73,0,22,1,44,0,4,2,0,0,0,0,0,0,0,0
83,1,27,1,48,0,6,2,0,0,0,0,0,0,0,0
64,0,22,1,35,0,7,2,0,0,0,0,0,0,8,0
56,0,17,0,32,0,6,1,0,0,0,0,0,0,6,0
52,0,22,1,23,0,6,2,0,0,0,0,0,0,6,0
85,0,18,1,60,0,7,2,0,0,0,0,0,0,8,0
43,0,18,1,18,0,5,2,0,0,0,0,0,0,0,0
59,0,26,1,26,0,3,3,0,0,0,0,0,0,0,0
56,1,15,1,33,0,5,3,0,0,0,0,0,0,1,0
42,0,19,0,16,0,4,1,0,0,0,0,0,0,0,0
48,1,16,1,24,0,4,2,0,0,0,0,0,0,0,0
29,0,21,1,1,0,3,2,0,0,0,0,0,0,0,0
61,0,17,0,37,0,4,1,0,0,0,0,0,0,0,0
43,0,21,1,15,0,4,2,0,0,0,0,0,0,0,0
68,0,19,1,42,0,5,2,0,0,0,0,0,0,0,0
62,0,22,1,33,0,5,2,0,0,0,0,0,0,3,0
62,0,34,1,21,0,3,3,0,0,0,0,0,0,0,0
52,0,15,0,30,0,4,1,0,0,0,0,0,0,0,0
51,1,16,1,27,0,4,2,0,0,0,0,0,0,0,0
61,0,18,1,36,0,4,3,0,0,0,0,0,0,0,0
42,0,14,1,21,0,5,3,0,0,0,0,0,0,5,0
68,0,15,1,46,0,5,3,0,0,0,0,0,0,0,0
48,0,19,1,22,0,3,2,0,0,0,0,0,0,0,0
55,1,19,1,28,0,6,2,0,0,0,0,0,0,5,0
46,0,17,1,22,0,3,2,0,0,0,0,0,0,0,0
35,0,12,1,16,0,4,2,0,0,0,0,0,0,0,0
71,0,18,2,46,0,8,4,0,0,0,0,0,0,11,0
64,0,20,2,37,0,6,5,0,0,0,0,0,0,4,0
40,0,25,1,8,0,3,2,0,0,0,0,0,0,0,0
45,1,16,1,21,0,4,2,0,0,0,0,0,0,0,0
40,0,18,1,15,0,4,2,0,0,0,0,0,0,0,0
36,0,13,1,16,0,5,2,0,0,0,0,0,0,0,0
44,0,16,1,21,0,3,3,0,0,0,0,0,0,0,0
43,1,15,1,20,0,4,2,0,0,0,0,0,0,0,0
35,0,20,1,8,0,3,2,0,0,0,0,0,0,0,0
59,0,25,1,27,0,4,3,0,0,0,0,0,0,0,0
41,0,13,1,21,0,4,3,0,0,0,0,0,0,0,0
37,0,22,1,8,0,3,2,0,0,0,0,0,0,0,0
46,1,17,1,21,0,5,2,0,0,0,0,0,0,0,0
65,0,14,1,44,0,4,3,0,0,0,0,0,0,0,0
58,0,14,1,37,0,4,3,0,0,0,0,0,0,0,0
53,0,28,1,18,0,5,2,0,0,0,0,0,0,0,0
52,0,16,1,29,0,5,3,0,0,0,0,0,0,0,0
58,1,19,1,31,0,5,3,0,0,0,0,0,0,0,0
45,0,21,1,17,0,3,2,0,0,0,0,0,0,0,0
41,0,12,0,22,0,6,1,0,0,0,0,0,0,2,0
52,0,14,0,31,0,7,1,0,0,0,0,0,0,0,0
47,0,20,1,20,0,5,2,0,0,0,0,0,0,0,0
51,0,26,1,18,0,3,3,0,0,0,0,0,0,0,0
99,1,22,1,69,0,5,2,0,0,0,0,0,0,6,0
47,0,18,0,22,0,3,2,0,0,0,0,0,0,3,0
46,0,14,0,25,0,5,1,0,0,0,0,0,0,0,0
50,0,19,1,24,0,3,3,0,0,0,0,0,0,0,0
74,1,23,1,43,0,4,3,0,0,0,0,0,0,0,0
127,1,19,1,100,0,8,2,0,0,0,0,0,0,1,0
107,1,19,1,80,0,7,2,0,0,0,0,0,0,0,0
56,1,27,1,21,0,3,3,0,0,0,0,0,0,1,0
53,1,20,1,25,0,3,3,0,0,0,0,0,0,0,0
36,0,15,1,14,0,3,3,0,0,0,0,0,0,0,0
68,0,22,1,39,0,6,3,0,0,0,0,0,0,0,0
41,0,16,2,18,0,4,3,0,0,0,0,0,0,7,0
70,1,17,1,45,0,6,3,0,0,0,0,0,0,6,0
124,0,29,1,88,0,5,3,0,0,0,0,0,0,0,0
64,0,18,0,39,0,4,1,0,0,0,0,0,0,0,0
180,0,12,0,161,0,6,3,0,0,0,0,0,0,44,0
80,0,21,1,52,0,9,3,0,0,0,0,0,0,14,0
67,0,15,0,45,0,4,2,0,0,0,0,0,0,4,0
41,0,16,2,18,0,4,3,0,0,0,0,0,0,7,0
41,0,14,1,20,0,3,3,0,0,0,0,0,0,0,0
47,0,17,1,23,0,3,3,0,0,0,0,0,0,4,0
50,0,21,1,22,0,3,3,0,0,0,0,0,0,4,0
45,0,17,1,21,0,4,2,0,0,0,0,0,0,0,0
66,1,20,1,38,0,6,2,0,0,0,0,0,0,0,0
52,1,16,1,28,0,4,3,0,0,0,0,0,0,4,0
41,1,16,1,17,0,4,2,0,0,0,0,0,0,0,0
78,1,17,1,53,0,4,2,0,0,0,0,0,0,0,0
44,1,18,0,18,0,4,1,0,0,0,0,0,0,0,0
41,0,15,1,19,0,3,2,0,0,0,0,0,0,1,0
40,0,15,1,18,0,4,2,0,0,0,0,0,0,0,0
42,0,11,1,24,0,5,2,0,0,0,0,0,0,0,0
46,1,16,1,22,0,4,2,0,0,0,0,0,0,0,0
43,1,15,1,20,0,4,2,0,0,0,0,0,0,0,0
40,1,16,1,16,0,4,2,0,0,0,0,0,0,0,0
34,1,11,0,15,0,3,1,0,0,0,0,0,0,0,0
36,0,12,1,17,0,5,2,0,0,0,0,0,0,7,0
67,0,20,1,40,0,7,2,0,0,0,0,0,0,11,0
41,1,17,1,16,0,4,2,0,0,0,0,0,0,0,0
53,0,13,1,33,0,5,3,0,0,0,0,0,0,4,0
100,0,31,1,62,0,4,2,0,0,0,0,0,0,0,0
82,0,16,1,59,0,7,3,0,0,0,0,0,0,8,0
96,0,10,0,79,0,5,2,0,0,0,0,0,0,0,0
79,0,17,1,55,0,4,3,0,0,0,0,0,0,5,0
63,1,15,1,40,0,5,2,0,0,0,0,0,0,0,0
44,1,13,1,8,0,3,3,0,0,0,1,1,0,2,0
55,0,17,1,31,0,4,3,0,0,0,0,0,0,6,0
73,1,15,1,50,0,4,3,0,0,0,0,0,0,0,0
74,1,13,1,53,0,6,3,0,0,0,0,0,0,4,0
74,0,23,1,44,0,4,3,0,0,0,0,0,0,0,0
77,0,11,1,59,0,7,3,0,0,0,0,0,0,6,0
54,0,22,1,25,0,3,3,0,0,0,0,0,0,0,0
53,0,28,1,18,0,3,3,0,0,0,0,0,0,0,0
62,1,21,1,33,0,7,2,0,0,0,0,0,0,8,0
60,0,19,0,34,0,4,1,0,0,0,0,0,0,2,0
38,0,30,1,1,0,3,2,0,0,0,0,0,0,0,0
97,1,26,1,63,0,5,2,0,0,0,0,0,0,0,0
82,0,22,1,53,0,5,3,0,0,0,0,0,0,3,0
90,0,14,1,69,0,4,3,0,0,0,0,0,0,0,0
63,0,18,1,38,0,4,2,0,0,0,0,0,0,0,0
25,0,17,1,1,0,3,2,0,0,0,0,0,0,0,0
30,0,22,1,1,0,3,2,0,0,0,0,0,0,0,0
36,1,17,1,11,0,4,2,0,0,0,0,0,0,0,0
41,1,12,1,21,0,4,2,0,0,0,0,0,0,0,0
29,0,21,0,1,0,3,1,0,0,0,0,0,0,0,0
47,1,18,1,21,0,4,2,0,0,0,0,0,0,0,0
34,1,15,0,11,0,4,1,0,0,0,0,0,0,0,0
58,1,23,1,27,0,5,3,0,0,0,0,0,0,0,0
29,0,21,1,1,0,3,2,0,0,0,0,0,0,0,0
18,0,10,0,1,0,3,1,0,0,0,0,0,0,0,0
53,0,18,1,28,0,4,2,0,0,0,0,0,0,0,0
67,0,13,1,47,0,6,2,0,0,0,0,0,0,0,0
26,0,14,1,5,0,4,2,0,0,0,0,0,0,0,0
65,1,16,1,41,0,4,2,0,0,0,0,0,0,0,0
23,0,15,1,1,0,3,2,0,0,0,0,0,0,0,0
